,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
5,Level 1,20.0,Linear,"(4, 'shafter', 20)",0.9414660673722708,11.685667947013632,0.9367410267323122,18.68590422279797,,,,
6,Level 1,17.0,Linear,"(3, 'shafter', 17)",0.7136586123393108,9.768672858069184,0.7085080785423755,16.0079453625656,,,,
7,Level 1,17.0,Linear,"(4, 'donovan', 17)",1.3808200140084328,11.078859995436082,0.5611637864034213,20.352852650725254,,,,
8,Level 1,19.0,Linear,"(3, 'shafter', 19)",0.4723667794190162,6.623278593618792,0.32226861446497324,7.321947818343493,,,,
9,Level 1,19.0,Linear,"(4, 'donovan', 19)",0.8514727489277472,7.0358537674555945,0.2743417549214901,9.767208210304279,,,,
10,Level 1,21.0,Linear,"(3, 'shafter', 21)",0.7628054674688368,10.441402846136636,0.4429811682347582,10.008662642684838,,,,
11,Level 1,21.0,Linear,"(4, 'donovan', 21)",1.8231428280512796,14.627789240271087,0.5907709428629366,21.426674781496686,,,,
12,Level 1,11.0,Linear,"(3, 'donovan', 11)",0.532282820571156,6.403789436583463,0.3177392918843338,9.463301803915321,,,,
13,Level 1,11.0,Linear,"(4, 'elcajon', 11)",0.3162037514335148,6.111226890026412,0.35070719508578946,6.270473406190939,,,,
14,Level 1,12.0,Linear,"(3, 'donovan', 12)",0.5457786661035422,6.559220628583206,0.3315317697039513,9.888178842324448,,,,
15,Level 1,12.0,Linear,"(4, 'elcajon', 12)",0.2889175043964499,5.583869305352484,0.4050707561818867,7.242467334161327,,,,
16,Level 1,13.0,Linear,"(3, 'donovan', 13)",0.7885134111364286,9.39207982016016,0.4888812327361425,14.545551047786931,,,,
17,Level 1,13.0,Linear,"(4, 'elcajon', 13)",0.4450196551673583,8.624533667318046,0.6483652803127329,11.476344929328613,,,,
18,Level 1,11.0,Linear,"(2, 'shafter', 11)",0.6704716106185811,9.088732245789704,0.2467163151347738,7.771624919653932,,,,
19,Level 1,11.0,Linear,"(4, 'elcajon', 11)",0.36530386048087615,7.060178018383142,0.31360874384635545,5.607171212317107,,,,
20,Level 1,12.0,Linear,"(2, 'shafter', 12)",0.6576563966902299,8.827708245968688,0.30904752812293346,9.73630878500261,,,,
21,Level 1,12.0,Linear,"(4, 'elcajon', 12)",0.2490881972670451,4.8140937045354315,0.3672548742056823,6.566337829018326,,,,
22,Level 1,13.0,Linear,"(2, 'shafter', 13)",0.4158548032009111,5.6130161106213246,0.3888286123901417,12.321826258240984,,,,
